Reaction,RHEA_ID
R00428,17473
R00936,15009
R00937,15009
R00940,15009
R00985,21732
R00999,20397
R01600,17825
R02235,15009
R02294,27642
R02295,27642
R02508,20397
R02736,15841
R02740,11816
R03291,14105
R03293,14109
R03321,11816
R03601,14829
R04391,16373
R04506,25294
R04639,17473
R04859,14829
R04928,24152
R04929,18133
R04944,20397
R05046,17473
R05068,13493
R05290,12633
R05576,16197
R05645,27489
R06590,27626
R06590,10508
R08639,23536
R09489,65032
R09769,27489
R10907,38215
R10907,15841
R11319,12973
R03104,23444
R01257,46012
R12695,12376
R01785,19689
R01902,20117
R01678,10076
R03191,12248
R00236,23176
R01354,20373
R00896,21824
R02025,19993
R02433,21824
R02851,15869
R05053,15869
R01582,15869
R02670,20309
R02924,15869
R02459,15869
R02964,46160
R10757,26478
R10124,42288
R10122,22564
R10118,22564
R10115,55040
R10116,17397
R10120,17397
R10121,13097
